File;Page No;Line No;Headline;Category;Table Headline;Item List Headline;Name;Parameter;Comment;Description;Source
KSP_Reference_Manual.txt.py;258;8815;21. Built-in Variables and Constants;Events and MIDI;;;$MARK_3;;;"These constants can be used to create a bitmask that is used to group events at will.
It is intended to be used with by_marks() , set_event_mark(), get_event_mark(),
delete_event_mark(), mf_set_mark() and mf_get_mark() commands.";BUILT-IN
KSP_Reference_Manual.txt.py;258;8815;21. Built-in Variables and Constants;Events and MIDI;;;$MARK_4;;;"These constants can be used to create a bitmask that is used to group events at will.
It is intended to be used with by_marks() , set_event_mark(), get_event_mark(),
delete_event_mark(), mf_set_mark() and mf_get_mark() commands.";BUILT-IN
KSP_Reference_Manual.txt.py;258;8815;21. Built-in Variables and Constants;Events and MIDI;;;$MARK_5;;;"These constants can be used to create a bitmask that is used to group events at will.
It is intended to be used with by_marks() , set_event_mark(), get_event_mark(),
delete_event_mark(), mf_set_mark() and mf_get_mark() commands.";BUILT-IN
KSP_Reference_Manual.txt.py;258;8815;21. Built-in Variables and Constants;Events and MIDI;;;$MARK_6;;;"These constants can be used to create a bitmask that is used to group events at will.
It is intended to be used with by_marks() , set_event_mark(), get_event_mark(),
delete_event_mark(), mf_set_mark() and mf_get_mark() commands.";BUILT-IN
KSP_Reference_Manual.txt.py;258;8815;21. Built-in Variables and Constants;Events and MIDI;;;$MARK_7;;;"These constants can be used to create a bitmask that is used to group events at will.
It is intended to be used with by_marks() , set_event_mark(), get_event_mark(),
delete_event_mark(), mf_set_mark() and mf_get_mark() commands.";BUILT-IN
KSP_Reference_Manual.txt.py;258;8815;21. Built-in Variables and Constants;Events and MIDI;;;$MARK_8;;;"These constants can be used to create a bitmask that is used to group events at will.
It is intended to be used with by_marks() , set_event_mark(), get_event_mark(),
delete_event_mark(), mf_set_mark() and mf_get_mark() commands.";BUILT-IN
KSP_Reference_Manual.txt.py;258;8815;21. Built-in Variables and Constants;Events and MIDI;;;$MARK_9;;;"These constants can be used to create a bitmask that is used to group events at will.
It is intended to be used with by_marks() , set_event_mark(), get_event_mark(),
delete_event_mark(), mf_set_mark() and mf_get_mark() commands.";BUILT-IN
KSP_Reference_Manual.txt.py;258;8815;21. Built-in Variables and Constants;Events and MIDI;;;$MARK_10;;;"These constants can be used to create a bitmask that is used to group events at will.
It is intended to be used with by_marks() , set_event_mark(), get_event_mark(),
delete_event_mark(), mf_set_mark() and mf_get_mark() commands.";BUILT-IN
KSP_Reference_Manual.txt.py;258;8815;21. Built-in Variables and Constants;Events and MIDI;;;$MARK_11;;;"These constants can be used to create a bitmask that is used to group events at will.
It is intended to be used with by_marks() , set_event_mark(), get_event_mark(),
delete_event_mark(), mf_set_mark() and mf_get_mark() commands.";BUILT-IN
KSP_Reference_Manual.txt.py;258;8815;21. Built-in Variables and Constants;Events and MIDI;;;$MARK_12;;;"These constants can be used to create a bitmask that is used to group events at will.
It is intended to be used with by_marks() , set_event_mark(), get_event_mark(),
delete_event_mark(), mf_set_mark() and mf_get_mark() commands.";BUILT-IN
KSP_Reference_Manual.txt.py;258;8815;21. Built-in Variables and Constants;Events and MIDI;;;$MARK_13;;;"These constants can be used to create a bitmask that is used to group events at will.
It is intended to be used with by_marks() , set_event_mark(), get_event_mark(),
delete_event_mark(), mf_set_mark() and mf_get_mark() commands.";BUILT-IN
KSP_Reference_Manual.txt.py;258;8815;21. Built-in Variables and Constants;Events and MIDI;;;$MARK_14;;;"These constants can be used to create a bitmask that is used to group events at will.
It is intended to be used with by_marks() , set_event_mark(), get_event_mark(),
delete_event_mark(), mf_set_mark() and mf_get_mark() commands.";BUILT-IN
KSP_Reference_Manual.txt.py;258;8815;21. Built-in Variables and Constants;Events and MIDI;;;$MARK_15;;;"These constants can be used to create a bitmask that is used to group events at will.
It is intended to be used with by_marks() , set_event_mark(), get_event_mark(),
delete_event_mark(), mf_set_mark() and mf_get_mark() commands.";BUILT-IN
KSP_Reference_Manual.txt.py;258;8815;21. Built-in Variables and Constants;Events and MIDI;;;$MARK_16;;;"These constants can be used to create a bitmask that is used to group events at will.
It is intended to be used with by_marks() , set_event_mark(), get_event_mark(),
delete_event_mark(), mf_set_mark() and mf_get_mark() commands.";BUILT-IN
KSP_Reference_Manual.txt.py;258;8815;21. Built-in Variables and Constants;Events and MIDI;;;$MARK_17;;;"These constants can be used to create a bitmask that is used to group events at will.
It is intended to be used with by_marks() , set_event_mark(), get_event_mark(),
delete_event_mark(), mf_set_mark() and mf_get_mark() commands.";BUILT-IN
KSP_Reference_Manual.txt.py;258;8815;21. Built-in Variables and Constants;Events and MIDI;;;$MARK_18;;;"These constants can be used to create a bitmask that is used to group events at will.
It is intended to be used with by_marks() , set_event_mark(), get_event_mark(),
delete_event_mark(), mf_set_mark() and mf_get_mark() commands.";BUILT-IN
KSP_Reference_Manual.txt.py;258;8815;21. Built-in Variables and Constants;Events and MIDI;;;$MARK_19;;;"These constants can be used to create a bitmask that is used to group events at will.
It is intended to be used with by_marks() , set_event_mark(), get_event_mark(),
delete_event_mark(), mf_set_mark() and mf_get_mark() commands.";BUILT-IN
KSP_Reference_Manual.txt.py;258;8815;21. Built-in Variables and Constants;Events and MIDI;;;$MARK_20;;;"These constants can be used to create a bitmask that is used to group events at will.
It is intended to be used with by_marks() , set_event_mark(), get_event_mark(),
delete_event_mark(), mf_set_mark() and mf_get_mark() commands.";BUILT-IN
KSP_Reference_Manual.txt.py;258;8815;21. Built-in Variables and Constants;Events and MIDI;;;$MARK_21;;;"These constants can be used to create a bitmask that is used to group events at will.
It is intended to be used with by_marks() , set_event_mark(), get_event_mark(),
delete_event_mark(), mf_set_mark() and mf_get_mark() commands.";BUILT-IN
KSP_Reference_Manual.txt.py;258;8815;21. Built-in Variables and Constants;Events and MIDI;;;$MARK_22;;;"These constants can be used to create a bitmask that is used to group events at will.
It is intended to be used with by_marks() , set_event_mark(), get_event_mark(),
delete_event_mark(), mf_set_mark() and mf_get_mark() commands.";BUILT-IN
KSP_Reference_Manual.txt.py;258;8815;21. Built-in Variables and Constants;Events and MIDI;;;$MARK_23;;;"These constants can be used to create a bitmask that is used to group events at will.
It is intended to be used with by_marks() , set_event_mark(), get_event_mark(),
delete_event_mark(), mf_set_mark() and mf_get_mark() commands.";BUILT-IN
KSP_Reference_Manual.txt.py;258;8815;21. Built-in Variables and Constants;Events and MIDI;;;$MARK_24;;;"These constants can be used to create a bitmask that is used to group events at will.
It is intended to be used with by_marks() , set_event_mark(), get_event_mark(),
delete_event_mark(), mf_set_mark() and mf_get_mark() commands.";BUILT-IN
KSP_Reference_Manual.txt.py;258;8815;21. Built-in Variables and Constants;Events and MIDI;;;$MARK_25;;;"These constants can be used to create a bitmask that is used to group events at will.
It is intended to be used with by_marks() , set_event_mark(), get_event_mark(),
delete_event_mark(), mf_set_mark() and mf_get_mark() commands.";BUILT-IN
KSP_Reference_Manual.txt.py;258;8815;21. Built-in Variables and Constants;Events and MIDI;;;$MARK_26;;;"These constants can be used to create a bitmask that is used to group events at will.
It is intended to be used with by_marks() , set_event_mark(), get_event_mark(),
delete_event_mark(), mf_set_mark() and mf_get_mark() commands.";BUILT-IN
KSP_Reference_Manual.txt.py;258;8815;21. Built-in Variables and Constants;Events and MIDI;;;$MARK_27;;;"These constants can be used to create a bitmask that is used to group events at will.
It is intended to be used with by_marks() , set_event_mark(), get_event_mark(),
delete_event_mark(), mf_set_mark() and mf_get_mark() commands.";BUILT-IN
KSP_Reference_Manual.txt.py;258;8815;21. Built-in Variables and Constants;Events and MIDI;;;$MARK_28;;;"These constants can be used to create a bitmask that is used to group events at will.
It is intended to be used with by_marks() , set_event_mark(), get_event_mark(),
delete_event_mark(), mf_set_mark() and mf_get_mark() commands.";BUILT-IN
KSP_Reference_Manual.txt.py;258;8822;21. Built-in Variables and Constants;Events and MIDI;;;%CC;controller-number;;"This variable array contains the current value for the specified MIDI CC (continuous controller)
message.";BUILT-IN
KSP_Reference_Manual.txt.py;258;8828;21. Built-in Variables and Constants;Events and MIDI;;;$CC_NUM;;;"This variable contains the MIDI CC (continuous controller) number of the controller which triggered
the on controller callback.";BUILT-IN
KSP_Reference_Manual.txt.py;258;8834;21. Built-in Variables and Constants;Events and MIDI;;;%CC_TOUCHED;controller-number;;"This variable array updates itself whenever a MIDI CC value is changed - 1 if the specified MIDI CC
value has changed, 0 otherwise.";BUILT-IN
KSP_Reference_Manual.txt.py;258;8840;21. Built-in Variables and Constants;Events and MIDI;;;$EVENT_ID;;;"This variable contains the unique ID number of the event which triggered the on note or on
release callback.";BUILT-IN
KSP_Reference_Manual.txt.py;258;8846;21. Built-in Variables and Constants;Events and MIDI;;;$CURRENT_EVENT;;;"This variable contains the unique ID number of the currently selected MIDI event, i.e. the MIDI event
at the position marker.";BUILT-IN
KSP_Reference_Manual.txt.py;258;8852;21. Built-in Variables and Constants;Events and MIDI;;;$EVENT_NOTE;;;"This variable contains the note number of the event which triggered the on note or on release
callback.";BUILT-IN
KSP_Reference_Manual.txt.py;258;8858;21. Built-in Variables and Constants;Events and MIDI;;;$EVENT_VELOCITY;;;This variable contains the velocity of the note which triggered the on note callback.;BUILT-IN
KSP_Reference_Manual.txt.py;259;8866;21. Built-in Variables and Constants;Events and MIDI;Event Parameter Constants;Event parameters to be used with set_event_par() and get_event_par();$EVENT_PAR_0;;;;BUILT-IN
KSP_Reference_Manual.txt.py;259;8866;21. Built-in Variables and Constants;Events and MIDI;Event Parameter Constants;Event parameters to be used with set_event_par() and get_event_par();$EVENT_PAR_1;;;;BUILT-IN
KSP_Reference_Manual.txt.py;259;8866;21. Built-in Variables and Constants;Events and MIDI;Event Parameter Constants;Event parameters to be used with set_event_par() and get_event_par();$EVENT_PAR_2;;;;BUILT-IN
KSP_Reference_Manual.txt.py;259;8866;21. Built-in Variables and Constants;Events and MIDI;Event Parameter Constants;Event parameters to be used with set_event_par() and get_event_par();$EVENT_PAR_3;;;;BUILT-IN
KSP_Reference_Manual.txt.py;259;8867;21. Built-in Variables and Constants;Events and MIDI;Event Parameter Constants;Event parameters to be used with set_event_par() and get_event_par();$EVENT_PAR_VOLUME;;;;BUILT-IN
KSP_Reference_Manual.txt.py;259;8868;21. Built-in Variables and Constants;Events and MIDI;Event Parameter Constants;Event parameters to be used with set_event_par() and get_event_par();$EVENT_PAR_PAN;;;;BUILT-IN
KSP_Reference_Manual.txt.py;259;8869;21. Built-in Variables and Constants;Events and MIDI;Event Parameter Constants;Event parameters to be used with set_event_par() and get_event_par();$EVENT_PAR_TUNE;;;;BUILT-IN
KSP_Reference_Manual.txt.py;259;8870;21. Built-in Variables and Constants;Events and MIDI;Event Parameter Constants;Event parameters to be used with set_event_par() and get_event_par();$EVENT_PAR_NOTE;;;;BUILT-IN
KSP_Reference_Manual.txt.py;259;8871;21. Built-in Variables and Constants;Events and MIDI;Event Parameter Constants;Event parameters to be used with set_event_par() and get_event_par();$EVENT_PAR_VELOCITY;;;;BUILT-IN
KSP_Reference_Manual.txt.py;259;8872;21. Built-in Variables and Constants;Events and MIDI;Event Parameter Constants;Event parameters to be used with set_event_par() and get_event_par();$EVENT_PAR_MIDI_CHANNEL;;;;BUILT-IN
KSP_Reference_Manual.txt.py;259;8874;21. Built-in Variables and Constants;Events and MIDI;Event Parameter Constants;Event parameters to be used with set_event_par_arr() and get_event_par_arr();$EVENT_PAR_ALLOW_GROUP;;;;BUILT-IN
KSP_Reference_Manual.txt.py;259;8875;21. Built-in Variables and Constants;Events and MIDI;Event Parameter Constants;Event parameters to be used with set_event_par_arr() and get_event_par_arr();$EVENT_PAR_CUSTOM;;;;BUILT-IN
KSP_Reference_Manual.txt.py;259;8876;21. Built-in Variables and Constants;Events and MIDI;Event Parameter Constants;Event parameters to be used with set_event_par_arr() and get_event_par_arr();$EVENT_PAR_MOD_VALUE_ID;;;;BUILT-IN
KSP_Reference_Manual.txt.py;259;8877;21. Built-in Variables and Constants;Events and MIDI;Event Parameter Constants;Event parameters to be used with set_event_par_arr() and get_event_par_arr();$EVENT_PAR_MOD_VALUE_EX_ID;;;;BUILT-IN
KSP_Reference_Manual.txt.py;259;8879;21. Built-in Variables and Constants;Events and MIDI;Event Parameter Constants;Event parameters to be used with get_event_par() only;$EVENT_PAR_SOURCE;;(-1 if event originates from outside, otherwise slot number 0 ... 4);;BUILT-IN
KSP_Reference_Manual.txt.py;259;8880;21. Built-in Variables and Constants;Events and MIDI;Event Parameter Constants;Event parameters to be used with get_event_par() only;$EVENT_PAR_PLAY_POS;;(Returns the absolute position of the play cursor within a zone in microseconds);;BUILT-IN
KSP_Reference_Manual.txt.py;259;8882;21. Built-in Variables and Constants;Events and MIDI;Event Parameter Constants;Event parameters to be used with get_event_par() only;$EVENT_PAR_ZONE_ID;;(Returns the zone ID of the event- Can only be used with active events. Returns -1 if no zone is triggered. Returns the highest zone ID if more than one zone is triggered by the event. Make sure the voice is running by writing e.g. wait (1) before retrieving the zone ID!);"Event parameters to be used with set_event_par() and get_event_par() in multi scripts
only: • $EVENT_PAR_MIDI_COMMAND";BUILT-IN
KSP_Reference_Manual.txt.py;259;8889;21. Built-in Variables and Constants;Events and MIDI;Event Parameter Constants;Event parameters to be used with get_event_par() only;$EVENT_PAR_MIDI_BYTE_1;;;;BUILT-IN
KSP_Reference_Manual.txt.py;259;8890;21. Built-in Variables and Constants;Events and MIDI;Event Parameter Constants;Event parameters to be used with get_event_par() only;$EVENT_PAR_MIDI_BYTE_2;;;;BUILT-IN
KSP_Reference_Manual.txt.py;259;8892;21. Built-in Variables and Constants;Events and MIDI;Event Parameter Constants;Event parameters to be used with mf_set_event_par() and mf_get_event_par();$EVENT_PAR_POS;;;;BUILT-IN
KSP_Reference_Manual.txt.py;259;8893;21. Built-in Variables and Constants;Events and MIDI;Event Parameter Constants;Event parameters to be used with mf_set_event_par() and mf_get_event_par();$EVENT_PAR_NOTE_LENGTH;;;;BUILT-IN
KSP_Reference_Manual.txt.py;259;8894;21. Built-in Variables and Constants;Events and MIDI;Event Parameter Constants;Event parameters to be used with mf_set_event_par() and mf_get_event_par();$EVENT_PAR_ID;;;;BUILT-IN
KSP_Reference_Manual.txt.py;259;8895;21. Built-in Variables and Constants;Events and MIDI;Event Parameter Constants;Event parameters to be used with mf_set_event_par() and mf_get_event_par();$EVENT_PAR_TRACK_NR;;;;BUILT-IN
KSP_Reference_Manual.txt.py;259;8898;21. Built-in Variables and Constants;Events and MIDI;;;%EVENT_PAR;event-par;;"This variable array contains values of $EVENT_PAR_0... $EVENT_PAR_3 along with
$EVENT_PAR_CUSTOM indices 4-15, valid for $EVENT_ID.";BUILT-IN
KSP_Reference_Manual.txt.py;259;8906;21. Built-in Variables and Constants;Events and MIDI;Event Status Constants;These are values returned by event_status() command;$EVENT_STATUS_INACTIVE;;;;BUILT-IN
KSP_Reference_Manual.txt.py;259;8907;21. Built-in Variables and Constants;Events and MIDI;Event Status Constants;These are values returned by event_status() command;$EVENT_STATUS_NOTE_QUEUE;;;;BUILT-IN
KSP_Reference_Manual.txt.py;259;8909;21. Built-in Variables and Constants;Events and MIDI;Event Status Constants;Multi script only;$EVENT_STATUS_MIDI_QUEUE;;;;BUILT-IN
KSP_Reference_Manual.txt.py;260;8913;21. Built-in Variables and Constants;Events and MIDI;;;%GROUPS_AFFECTED;;;"This variable array contains indices of those groups that are affected by the current MIDI Note On or
Note Off events.
The size of the array changes depending on the number of groups the event affects, so use the
num_elements() command to get the correct array size.
The returned indices come before any allow_group() or disallow_group() commands, so it
can be used to analyze the mapping of the instrument.";BUILT-IN
KSP_Reference_Manual.txt.py;260;8923;21. Built-in Variables and Constants;Events and MIDI;;;$NOTE_HELD;;;This variable contains 1 if the key which triggered the callback is still held, 0 otherwise.;BUILT-IN
KSP_Reference_Manual.txt.py;260;8928;21. Built-in Variables and Constants;Events and MIDI;;;%POLY_AT;note-number;;This variable array contains current values of MIDI Polyphonic Aftertouch for all MIDI note numbers.;BUILT-IN
KSP_Reference_Manual.txt.py;260;8933;21. Built-in Variables and Constants;Events and MIDI;;;$POLY_AT_NUM;;;"This variable contains the note number of the MIDI Polyphonic Aftertouch event which triggered the
on poly_at callback.";BUILT-IN
KSP_Reference_Manual.txt.py;260;8939;21. Built-in Variables and Constants;Events and MIDI;;;$RPN_ADDRESS;;;This variable contains the address of a received RPN or NRPN message (0... 16383).;BUILT-IN
KSP_Reference_Manual.txt.py;260;8944;21. Built-in Variables and Constants;Events and MIDI;;;$RPN_VALUE;;;This variable contains the value of a received RPN or NRPN message (0... 16383).;BUILT-IN
KSP_Reference_Manual.txt.py;260;8949;21. Built-in Variables and Constants;Events and MIDI;;;$VCC_MONO_AT;;;"This constant specifies Virtual Continuous Controller for mono aftertouch (MIDI Channel Pressure
message), mainly for use in on controller.";BUILT-IN
KSP_Reference_Manual.txt.py;260;8955;21. Built-in Variables and Constants;Events and MIDI;;;$VCC_PITCH_BEND;;;"This constant specifies Virtual Continuous Controller for MIDI Pitch Bend messages, mainly for use
in on controller.";BUILT-IN
KSP_Reference_Manual.txt.py;260;8961;21. Built-in Variables and Constants;Events and MIDI;;;%KEY_DOWN;note-number;;This variable array contains the current state of all keys. 1 if the key is held, 0 otherwise.;BUILT-IN
KSP_Reference_Manual.txt.py;260;8966;21. Built-in Variables and Constants;Events and MIDI;;;%KEY_DOWN_OCT;note-number;;"This variable array contains 1 if a note, independent of the octave, is held. 0 otherwise. Due to this,
the note number should be a value between 0 (C) and 11 (B).";BUILT-IN
KSP_Reference_Manual.txt.py;261;8973;21. Built-in Variables and Constants;Transport and Timing;;;$DISTANCE_BAR_START;;;"This variable returns the time of a MIDI Note On message in microseconds from the beginning of
the current bar, with respect to the current tempo.";BUILT-IN
KSP_Reference_Manual.txt.py;261;8979;21. Built-in Variables and Constants;Transport and Timing;;;$DURATION_BAR;;;"This variable returns the duration in microseconds of one bar with respect to the current tempo.
It only works if the clock is running, otherwise it will return 0.
You can also retrieve the duration of one bar by using $SIGNATURE_NUM and $SIGNATURE_DENOM
in combination with various $DURATION_ constants.";BUILT-IN
KSP_Reference_Manual.txt.py;261;8987;21. Built-in Variables and Constants;Transport and Timing;;;$DURATION_QUARTER;;;This variable returns the duration of a quarter note in microseconds, with respect to the current;BUILT-IN
KSP_Reference_Manual.txt.py;261;8991;21. Built-in Variables and Constants;Transport and Timing;;tempo. Also available;$DURATION_EIGHTH;;;;BUILT-IN
KSP_Reference_Manual.txt.py;261;8992;21. Built-in Variables and Constants;Transport and Timing;;tempo. Also available;$DURATION_SIXTEENTH;;;;BUILT-IN
KSP_Reference_Manual.txt.py;261;8993;21. Built-in Variables and Constants;Transport and Timing;;tempo. Also available;$DURATION_QUARTER_TRIPLET;;;;BUILT-IN
KSP_Reference_Manual.txt.py;261;8994;21. Built-in Variables and Constants;Transport and Timing;;tempo. Also available;$DURATION_EIGHTH_TRIPLET;;;;BUILT-IN
KSP_Reference_Manual.txt.py;261;8995;21. Built-in Variables and Constants;Transport and Timing;;tempo. Also available;$DURATION_SIXTEENTH_TRIPLET;;;;BUILT-IN
KSP_Reference_Manual.txt.py;261;8998;21. Built-in Variables and Constants;Transport and Timing;;;$ENGINE_UPTIME;;;"This variable returns the time period in milliseconds (not microseconds!) that has passed since the
instantiation of KONTAKT. The engine uptime is calculated from the sample rate and can thus be
used in musical contexts, (eg. building arpeggiators or sequencers) as it remains in sync, even in an
offline bounce.";BUILT-IN
KSP_Reference_Manual.txt.py;261;9006;21. Built-in Variables and Constants;Transport and Timing;;;$KSP_TIMER;;;"This variable returns the time period in microseconds that has passed since KONTAKT was
instantiated.
It can be reset with reset_ksp_timer.
The KSP timer is based on the CPU clock and thus runs at a constant rate, regardless of whether or
not KONTAKT is being used in real time. As such, it should be used to test the efficiency of scripts
and not to make musical calculations.";BUILT-IN
KSP_Reference_Manual.txt.py;261;9016;21. Built-in Variables and Constants;Transport and Timing;;;$NI_SONG_POSITION;;;This variable returns the host’s current song position at 960 PPQ (pulses per quarter note).;BUILT-IN
KSP_Reference_Manual.txt.py;261;9021;21. Built-in Variables and Constants;Transport and Timing;;;$NI_TRANSPORT_RUNNING;;;This variable contains 1 if the host's transport is running, 0 otherwise.;BUILT-IN
KSP_Reference_Manual.txt.py;261;9026;21. Built-in Variables and Constants;Transport and Timing;;;$SIGNATURE_NUM;;;This variable contains the numerator of the current time signature, i.e. 4/4.;BUILT-IN
KSP_Reference_Manual.txt.py;262;9032;21. Built-in Variables and Constants;Transport and Timing;;;$SIGNATURE_DENOM;;;This variable contains the denominator of the current time signature, i.e. 4/4.;BUILT-IN
KSP_Reference_Manual.txt.py;262;9040;21. Built-in Variables and Constants;Transport and Timing;"Tempo Unit Constants
These constants are used to control the unit parameter of time-related controls (e.g. Delay Time,
Envelope Attack etc.) with engine parameter variables like $ENGINE_PAR_DL_TIME_UNIT.";;$NI_SYNC_UNIT_ABS;;(not synchronized to tempo);;BUILT-IN
KSP_Reference_Manual.txt.py;262;9041;21. Built-in Variables and Constants;Transport and Timing;"Tempo Unit Constants
These constants are used to control the unit parameter of time-related controls (e.g. Delay Time,
Envelope Attack etc.) with engine parameter variables like $ENGINE_PAR_DL_TIME_UNIT.";;$NI_SYNC_UNIT_WHOLE;;;;BUILT-IN
KSP_Reference_Manual.txt.py;262;9042;21. Built-in Variables and Constants;Transport and Timing;"Tempo Unit Constants
These constants are used to control the unit parameter of time-related controls (e.g. Delay Time,
Envelope Attack etc.) with engine parameter variables like $ENGINE_PAR_DL_TIME_UNIT.";;$NI_SYNC_UNIT_WHOLE_TRIPLET;;;;BUILT-IN
KSP_Reference_Manual.txt.py;262;9043;21. Built-in Variables and Constants;Transport and Timing;"Tempo Unit Constants
These constants are used to control the unit parameter of time-related controls (e.g. Delay Time,
Envelope Attack etc.) with engine parameter variables like $ENGINE_PAR_DL_TIME_UNIT.";;$NI_SYNC_UNIT_HALF;;;;BUILT-IN
KSP_Reference_Manual.txt.py;262;9044;21. Built-in Variables and Constants;Transport and Timing;"Tempo Unit Constants
These constants are used to control the unit parameter of time-related controls (e.g. Delay Time,
Envelope Attack etc.) with engine parameter variables like $ENGINE_PAR_DL_TIME_UNIT.";;$NI_SYNC_UNIT_HALF_TRIPLET;;;;BUILT-IN
KSP_Reference_Manual.txt.py;262;9045;21. Built-in Variables and Constants;Transport and Timing;"Tempo Unit Constants
These constants are used to control the unit parameter of time-related controls (e.g. Delay Time,
Envelope Attack etc.) with engine parameter variables like $ENGINE_PAR_DL_TIME_UNIT.";;$NI_SYNC_UNIT_QUARTER;;;;BUILT-IN
KSP_Reference_Manual.txt.py;262;9046;21. Built-in Variables and Constants;Transport and Timing;"Tempo Unit Constants
These constants are used to control the unit parameter of time-related controls (e.g. Delay Time,
Envelope Attack etc.) with engine parameter variables like $ENGINE_PAR_DL_TIME_UNIT.";;$NI_SYNC_UNIT_QUARTER_TRIPLET;;;;BUILT-IN
KSP_Reference_Manual.txt.py;262;9047;21. Built-in Variables and Constants;Transport and Timing;"Tempo Unit Constants
These constants are used to control the unit parameter of time-related controls (e.g. Delay Time,
Envelope Attack etc.) with engine parameter variables like $ENGINE_PAR_DL_TIME_UNIT.";;$NI_SYNC_UNIT_8TH;;;;BUILT-IN
